Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
20.16,-0.015871804,,
20.18,-0.015875485,,
20.2,-0.015898188,,
20.22,-0.015892972,,
20.24,-0.015851555,,
20.26,-0.015862907,,
20.28,-0.015858458,,
20.3,-0.015849715,,
20.32,-0.015834222,,
20.34,-0.015835602,,
20.36,-0.015848641,,
20.38,-0.015820263,,
20.4,-0.015822257,,
20.42,-0.01587073,,
20.44,-0.015868582,,
20.46,-0.015863367,,
20.48,-0.015864441,,
20.5,-0.015862753,,
20.52,-0.015895426,,
20.54,-0.015902943,,
20.56,-0.015867355,,
20.58,-0.015850022,,
20.6,-0.015874872,,
20.62,-0.015875025,,
20.64,-0.015850788,,
20.66,-0.015846187,,
20.68,-0.015843272,,
20.7,-0.015843272,,
20.72,-0.015844192,,
20.74,-0.015854777,,
20.76,-0.015858305,,
20.78,-0.015833148,,
20.8,-0.015851249,,
20.82,-0.01587165,,
20.84,-0.01586168,,
20.86,-0.015871343,,
20.88,-0.015867969,,
20.9,-0.015865208,,
20.92,-0.015865054,,
20.94,-0.015890364,,
20.96,-0.015872571,,
20.98,-0.015858458,,
21,-0.015871497,,
21.02,-0.015852629,,
21.04,-0.015856771,,
21.06,-0.015859225,,
21.08,-0.015833608,,
21.1,-0.015834682,,
21.12,-0.01585355,,
21.14,-0.015836369,,
21.16,-0.015851709,,
21.18,-0.01585493,,
21.2,-0.015846033,,
